appid,name,header_image,website,release_date,is_free,price,currency,about_the_game,short_description,detailed_description,dlc_count,achievements,recommendations,windows,mac,linux,metacritic_score,metacritic_url,support_url,support_email,interface_languages,audio_languages,developers,publishers,category_ids,category_descriptions,genre_ids,genre_descriptions
10,Counter-Strike,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/10/header.jpg?t=1745368572,,2000-11-01,False,8.19,EUR,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,0,0,169576,True,True,True,88,https://www.metacritic.com/game/pc/counter-strike?ftag=MCD-06-10aaa1f,http://steamcommunity.com/app/10,,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean","English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Valve,Valve,"1, 49, 36, 37, 66, 68, 75, 69, 8, 62","Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Stereo Sound, Valve Anti-Cheat enabled, Family Sharing",1,Action
20,Team Fortress Classic,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/20/header.jpg?t=1745368565,,1999-04-01,False,4.99,EUR,"One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.","One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.","One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.",0,0,7045,True,True,True,,,,,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",,Valve,Valve,"1, 49, 36, 37, 68, 75, 69, 8, 44, 62","Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Custom Volume Controls, Keyboard Only Option, Stereo Sound, Valve Anti-Cheat enabled, Remote Play Together, Family Sharing",1,Action
30,Day of Defeat,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/30/header.jpg?t=1745368580,http://www.dayofdefeat.com/,2003-05-01,False,4.99,EUR,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations. And, as war rages, players must work together with their squad to accomplish a variety of mission-specific objectives.","Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations.","Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations. And, as war rages, players must work together with their squad to accomplish a variety of mission-specific objectives.",0,0,4473,True,True,True,79,https://www.metacritic.com/game/pc/day-of-defeat?ftag=MCD-06-10aaa1f,,,"English, French, German, Italian, Spanish - Spain",,Valve,Valve,"1, 67, 66, 68, 69, 8, 62","Multi-player, Camera Comfort, Color Alternatives, Custom Volume Controls, Stereo Sound, Valve Anti-Cheat enabled, Family Sharing",1,Action
40,Deathmatch Classic,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/40/header.jpg?t=1745368570,,2001-06-01,False,4.99,EUR,"Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.","Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.","Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.",0,0,2452,True,True,True,,,,,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",,Valve,Valve,"1, 49, 36, 37, 66, 68, 75, 69, 8, 44, 62","Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Stereo Sound, Valve Anti-Cheat enabled, Remote Play Together, Family Sharing",1,Action
50,Half-Life: Opposing Force,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/50/header.jpg?t=1745368539,,1999-11-01,False,4.99,EUR,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.","Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.","Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.",0,0,25374,True,True,True,,,https://help.steampowered.com,,"English, French, German, Korean",,Gearbox Software,Valve,"2, 1, 68, 78, 74, 79, 8, 62","Single-player, Multi-player, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Valve Anti-Cheat enabled, Family Sharing",1,Action
60,Ricochet,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/60/header.jpg?t=1745368568,,2000-11-01,False,4.99,EUR,"A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.","A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.","A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.",0,0,4550,True,True,True,,,,,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",,Valve,Valve,"1, 49, 36, 68, 75, 69, 8, 62","Multi-player, PvP, Online PvP, Custom Volume Controls, Keyboard Only Option, Stereo Sound, Valve Anti-Cheat enabled, Family Sharing",1,Action
70,Half-Life,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/70/header.jpg?t=1745368462,http://www.half-life.com/,1998-11-19,False,8.19,EUR,"Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.","Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.","Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.",1,0,117070,True,True,True,96,https://www.metacritic.com/game/pc/half-life?ftag=MCD-06-10aaa1f,http://steamcommunity.com/app/70,,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean","English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Valve,Valve,"2, 1, 49, 36, 28, 66, 68, 78, 75, 74, 55, 56, 57, 58, 79, 69, 23, 8, 41, 42, 62","Single-player, Multi-player, PvP, Online PvP, Full controller support, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, DualShock Controller Support, DualShock Controller Support, DualSense Controller Support, DualSense Controller Support, Save Anytime, Stereo Sound, Steam Cloud, Valve Anti-Cheat enabled, Remote Play on Phone, Remote Play on Tablet, Family Sharing",1,Action
80,Counter-Strike: Condition Zero,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/80/header.jpg?t=1745368574,,2004-03-01,False,8.19,EUR,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.","With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.","With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.",0,0,21402,True,True,True,65,https://www.metacritic.com/game/pc/counter-strike-condition-zero?ftag=MCD-06-10aaa1f,http://steamcommunity.com/app/80,,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",,Valve,Valve,"2, 1, 66, 68, 78, 69, 8, 62","Single-player, Multi-player, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Valve Anti-Cheat enabled, Family Sharing",1,Action
130,Half-Life: Blue Shift,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/130/header.jpg?t=1745368541,,2001-06-01,False,4.99,EUR,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.","Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.","Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.",0,0,18610,True,True,True,71,https://www.metacritic.com/game/pc/half-life-blue-shift?ftag=MCD-06-10aaa1f,https://help.steampowered.com,,"English, French, German",,Gearbox Software,Valve,"2, 68, 78, 74, 79, 62","Single-player, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Family Sharing",1,Action
220,Half-Life 2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/220/header.jpg?t=1745368545,http://www.half-life.com/halflife2,2004-11-16,False,9.75,EUR,"The Seven Hour War is lost. Earth has surrendered. The Black Mesa incident is a distant memory. The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people he cares about are counting on him.Half-Life 2 is the landmark first-person shooter that “forged the framework for the next generation of games” (PC Gamer). Experience a thrilling campaign packed with unprecedented levels of immersive world-building, boundary-pushing physics, and exhilarating combat. Includes the Half-Life 2 Episode One and Two ExpansionsThe story of Half-Life 2 continues with Episodes One and Two, full-featured Half-Life adventures set during the aftermath of the base game. They are accessible from the main menu, and you will automatically advance to the next episode after completing each one. Half-Life 2: DeathmatchFast multiplayer action set in the Half-Life 2 universe! HL2's physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today! Included in your Steam library with purchase of Half-Life 2.Steam WorkshopPlay entire campaigns or replace weapons, enemies, UI, and more with content created by the community.","Reawakened from stasis in the occupied metropolis of City 17, Gordon Freeman is joined by Alyx Vance as he leads a desperate human resistance. Experience the landmark first-person shooter packed with immersive world-building, boundary-pushing physics, and exhilarating combat.","The Seven Hour War is lost. Earth has surrendered. The Black Mesa incident is a distant memory. The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people he cares about are counting on him.Half-Life 2 is the landmark first-person shooter that “forged the framework for the next generation of games” (PC Gamer). Experience a thrilling campaign packed with unprecedented levels of immersive world-building, boundary-pushing physics, and exhilarating combat. Includes the Half-Life 2 Episode One and Two ExpansionsThe story of Half-Life 2 continues with Episodes One and Two, full-featured Half-Life adventures set during the aftermath of the base game. They are accessible from the main menu, and you will automatically advance to the next episode after completing each one. Half-Life 2: DeathmatchFast multiplayer action set in the Half-Life 2 universe! HL2's physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today! Included in your Steam library with purchase of Half-Life 2.Steam WorkshopPlay entire campaigns or replace weapons, enemies, UI, and more with content created by the community.",1,69,202253,True,False,True,96,https://www.metacritic.com/game/pc/half-life-2?ftag=MCD-06-10aaa1f,http://steamcommunity.com/app/220,,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Turkish, Ukrainian","English, French, German, Italian, Korean, Spanish - Spain, Russian, Ukrainian",Valve,Valve,"2, 22, 28, 29, 13, 30, 67, 68, 78, 74, 55, 56, 57, 58, 79, 59, 69, 65, 70, 23, 16, 14, 41, 42, 44, 62, 63","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, DualShock Controller Support, DualShock Controller Support, DualSense Controller Support, DualSense Controller Support, Save Anytime, Steam Input API Support, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing, Steam Timeline",1,Action
