appid,name,release_date,is_free,price,downloadable_content,about_the_game,short_description,detailed_description,header_image,website,support_url,support_email,windows,mac,linux,metacritic_score,metacritic_url,achievements,recommendations,supported_languages,full_audio_languages,developers,publishers,categories,genres
620,Portal 2,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
220,Half-Life 2,2004-11-16,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
,Broken AppID Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001001,Upcoming Game 2027,2027-12-31,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001002,Text Release Date Game,,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001003,Empty Release Date Game,,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001004,Lowercase True Free Game,2023-05-10,true,0.00,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001005,Lowercase False Paid Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001006,Invalid Boolean Free Game,2023-05-10,,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001007,Negative Price Game,2023-05-10,false,-9.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
